NAME,B25104_001E,B25104_002E,B25104_003E,B25104_004E,B25104_005E,B25104_006E,B25104_007E,B25104_008E,B25104_009E,B25104_010E,B25104_011E,B25104_012E,B25104_013E,B25104_014E,B25104_015E,B25104_016E,B25104_017E,state,county,tract
"Census Tract 14, Clallam County, Washington",2002.0,0.0,0.0,70.0,53.0,138.0,147.0,51.0,180.0,58.0,83.0,343.0,247.0,416.0,105.0,86.0,25.0,53,009,001400
"Census Tract 15, Clallam County, Washington",1018.0,1.0,26.0,50.0,102.0,58.0,100.0,91.0,36.0,82.0,65.0,84.0,193.0,66.0,41.0,19.0,4.0,53,009,001500
"Census Tract 16, Clallam County, Washington",1535.0,0.0,34.0,41.0,132.0,128.0,141.0,131.0,137.0,69.0,62.0,403.0,68.0,98.0,37.0,54.0,0.0,53,009,001600
"Census Tract 17.01, Clallam County, Washington",809.0,0.0,14.0,0.0,68.0,103.0,16.0,66.0,0.0,16.0,20.0,154.0,95.0,74.0,30.0,55.0,98.0,53,009,001701
"Census Tract 17.02, Clallam County, Washington",1417.0,8.0,60.0,77.0,151.0,103.0,183.0,69.0,32.0,49.0,57.0,107.0,225.0,153.0,84.0,16.0,43.0,53,009,001702
"Census Tract 18, Clallam County, Washington",1183.0,0.0,8.0,58.0,36.0,44.0,59.0,105.0,55.0,75.0,79.0,243.0,203.0,91.0,23.0,52.0,52.0,53,009,001800
"Census Tract 19.01, Clallam County, Washington",1371.0,3.0,0.0,44.0,58.0,52.0,113.0,65.0,213.0,65.0,51.0,218.0,273.0,64.0,73.0,34.0,45.0,53,009,001901
"Census Tract 19.02, Clallam County, Washington",1484.0,11.0,33.0,119.0,41.0,123.0,98.0,33.0,130.0,82.0,126.0,391.0,198.0,81.0,6.0,12.0,0.0,53,009,001902
"Census Tract 20.01, Clallam County, Washington",1366.0,0.0,38.0,28.0,115.0,151.0,173.0,121.0,51.0,44.0,33.0,136.0,360.0,9.0,4.0,56.0,47.0,53,009,002001
"Census Tract 20.02, Clallam County, Washington",1623.0,36.0,5.0,42.0,43.0,71.0,197.0,196.0,179.0,19.0,122.0,283.0,233.0,124.0,15.0,35.0,23.0,53,009,002002
"Census Tract 21, Clallam County, Washington",1963.0,18.0,41.0,104.0,56.0,71.0,143.0,169.0,42.0,228.0,54.0,600.0,147.0,175.0,27.0,28.0,60.0,53,009,002100
"Census Tract 23.01, Clallam County, Washington",986.0,0.0,16.0,25.0,52.0,88.0,74.0,36.0,140.0,24.0,39.0,142.0,159.0,158.0,0.0,24.0,9.0,53,009,002301
"Census Tract 23.02, Clallam County, Washington",1158.0,0.0,30.0,96.0,42.0,94.0,60.0,34.0,42.0,107.0,0.0,153.0,150.0,135.0,103.0,112.0,0.0,53,009,002302
"Census Tract 24, Clallam County, Washington",1076.0,5.0,90.0,64.0,76.0,155.0,70.0,104.0,64.0,74.0,59.0,182.0,55.0,27.0,5.0,3.0,43.0,53,009,002400
"Census Tract 9400, Clallam County, Washington",517.0,33.0,173.0,115.0,23.0,27.0,39.0,10.0,10.0,17.0,13.0,5.0,0.0,0.0,0.0,0.0,52.0,53,009,940000
"Census Tract 9901, Clallam County, Washington",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,009,990100
"Census Tract 401.01, Clark County, Washington",1717.0,17.0,13.0,76.0,121.0,104.0,119.0,33.0,31.0,65.0,23.0,167.0,339.0,304.0,139.0,62.0,104.0,53,011,040101
"Census Tract 401.02, Clark County, Washington",1050.0,10.0,7.0,32.0,44.0,37.0,54.0,79.0,28.0,58.0,6.0,185.0,150.0,131.0,112.0,100.0,17.0,53,011,040102
"Census Tract 402.01, Clark County, Washington",2512.0,11.0,0.0,116.0,81.0,25.0,118.0,140.0,75.0,17.0,28.0,335.0,502.0,651.0,156.0,182.0,75.0,53,011,040201
"Census Tract 402.02, Clark County, Washington",1166.0,9.0,26.0,21.0,27.0,60.0,34.0,47.0,34.0,60.0,29.0,130.0,286.0,119.0,162.0,80.0,42.0,53,011,040202
"Census Tract 402.03, Clark County, Washington",1717.0,0.0,13.0,8.0,17.0,43.0,96.0,129.0,60.0,107.0,90.0,177.0,382.0,248.0,167.0,103.0,77.0,53,011,040203
"Census Tract 403.01, Clark County, Washington",664.0,0.0,0.0,29.0,25.0,26.0,23.0,21.0,34.0,10.0,19.0,54.0,132.0,58.0,91.0,142.0,0.0,53,011,040301
"Census Tract 403.03, Clark County, Washington",1905.0,0.0,0.0,20.0,44.0,45.0,0.0,64.0,79.0,42.0,0.0,59.0,694.0,337.0,218.0,298.0,5.0,53,011,040303
"Census Tract 403.04, Clark County, Washington",961.0,0.0,0.0,18.0,0.0,41.0,34.0,72.0,35.0,30.0,40.0,105.0,255.0,39.0,178.0,114.0,0.0,53,011,040304
"Census Tract 403.05, Clark County, Washington",966.0,0.0,0.0,0.0,26.0,45.0,32.0,0.0,0.0,0.0,32.0,90.0,209.0,266.0,137.0,129.0,0.0,53,011,040305
"Census Tract 404.03, Clark County, Washington",1451.0,0.0,9.0,0.0,23.0,60.0,115.0,63.0,134.0,115.0,73.0,162.0,246.0,120.0,106.0,216.0,9.0,53,011,040403
"Census Tract 404.07, Clark County, Washington",2225.0,20.0,30.0,24.0,0.0,62.0,24.0,40.0,45.0,68.0,45.0,946.0,603.0,141.0,57.0,109.0,11.0,53,011,040407
"Census Tract 404.08, Clark County, Washington",1271.0,0.0,12.0,0.0,21.0,11.0,28.0,90.0,74.0,61.0,51.0,164.0,243.0,159.0,104.0,247.0,6.0,53,011,040408
"Census Tract 404.09, Clark County, Washington",816.0,0.0,0.0,20.0,0.0,26.0,59.0,36.0,60.0,18.0,11.0,68.0,133.0,153.0,132.0,90.0,10.0,53,011,040409
"Census Tract 404.11, Clark County, Washington",1038.0,16.0,10.0,0.0,0.0,0.0,46.0,51.0,33.0,11.0,73.0,281.0,319.0,86.0,22.0,84.0,6.0,53,011,040411
"Census Tract 404.12, Clark County, Washington",2063.0,14.0,5.0,9.0,34.0,85.0,37.0,89.0,116.0,62.0,76.0,180.0,754.0,213.0,226.0,142.0,21.0,53,011,040412
"Census Tract 404.13, Clark County, Washington",1204.0,0.0,10.0,6.0,65.0,84.0,33.0,16.0,14.0,32.0,107.0,339.0,357.0,102.0,31.0,0.0,8.0,53,011,040413
"Census Tract 404.14, Clark County, Washington",1979.0,0.0,13.0,0.0,42.0,40.0,41.0,23.0,59.0,85.0,23.0,412.0,780.0,283.0,122.0,56.0,0.0,53,011,040414
"Census Tract 404.15, Clark County, Washington",1629.0,0.0,0.0,12.0,109.0,122.0,32.0,56.0,25.0,68.0,66.0,400.0,574.0,112.0,38.0,15.0,0.0,53,011,040415
"Census Tract 404.16, Clark County, Washington",1328.0,0.0,30.0,28.0,46.0,11.0,65.0,44.0,88.0,23.0,32.0,149.0,216.0,293.0,136.0,158.0,9.0,53,011,040416
"Census Tract 405.04, Clark County, Washington",1584.0,0.0,0.0,0.0,43.0,66.0,84.0,84.0,37.0,129.0,29.0,210.0,192.0,215.0,227.0,256.0,12.0,53,011,040504
"Census Tract 405.05, Clark County, Washington",2052.0,7.0,30.0,35.0,12.0,84.0,53.0,276.0,111.0,60.0,191.0,165.0,169.0,327.0,213.0,281.0,38.0,53,011,040505
"Census Tract 405.07, Clark County, Washington",834.0,5.0,37.0,16.0,22.0,10.0,24.0,48.0,33.0,23.0,51.0,289.0,221.0,35.0,7.0,13.0,0.0,53,011,040507
"Census Tract 405.09, Clark County, Washington",1362.0,0.0,18.0,71.0,55.0,62.0,35.0,0.0,26.0,61.0,70.0,401.0,314.0,223.0,6.0,20.0,0.0,53,011,040509
